Epoch 311, Train Loss: 0.7000608444213867
Epoch 312, Train Loss: 0.5795087814331055
Epoch 313, Train Loss: 0.542117178440094
Epoch 314, Train Loss: 0.593725323677063
Epoch 315, Train Loss: 0.47389885783195496
Epoch 316, Train Loss: 0.5265064239501953
Epoch 317, Train Loss: 0.4433571696281433
Epoch 318, Train Loss: 0.47278276085853577
Epoch 319, Train Loss: 0.42574840784072876
Epoch 320, Train Loss: 0.4248795509338379
Epoch 321, Train Loss: 0.41284143924713135
Epoch 322, Train Loss: 0.38422930240631104
Epoch 323, Train Loss: 0.38663923740386963
Epoch 324, Train Loss: 0.37414634227752686
Epoch 325, Train Loss: 0.36081555485725403
Epoch 326, Train Loss: 0.3628964126110077
Epoch 327, Train Loss: 0.33067429065704346
Epoch 328, Train Loss: 0.3495998978614807
Epoch 329, Train Loss: 0.31775176525115967
Epoch 330, Train Loss: 0.3242078423500061
Epoch 331, Train Loss: 0.3100796937942505
Epoch 332, Train Loss: 0.30103299021720886
Epoch 333, Train Loss: 0.302482008934021
Epoch 334, Train Loss: 0.29308539628982544
Epoch 335, Train Loss: 0.2890603244304657
Epoch 336, Train Loss: 0.2797516882419586
Epoch 337, Train Loss: 0.27679163217544556
Epoch 338, Train Loss: 0.2758868336677551
Epoch 339, Train Loss: 0.26486724615097046
Epoch 340, Train Loss: 0.26364749670028687
Epoch 341, Train Loss: 0.25396761298179626
Epoch 342, Train Loss: 0.25710684061050415
Epoch 343, Train Loss: 0.2523779571056366
Epoch 344, Train Loss: 0.24595528841018677
Epoch 345, Train Loss: 0.2414368987083435
Epoch 346, Train Loss: 0.2385420799255371
Epoch 347, Train Loss: 0.23973530530929565
Epoch 348, Train Loss: 0.235581174492836
Epoch 349, Train Loss: 0.2343607097864151
Epoch 350, Train Loss: 0.22337418794631958
Epoch 351, Train Loss: 0.21991592645645142
Epoch 352, Train Loss: 0.21686792373657227
Epoch 353, Train Loss: 0.21707656979560852
Epoch 354, Train Loss: 0.21714411675930023
Epoch 355, Train Loss: 0.2148425579071045
Epoch 356, Train Loss: 0.2120777666568756
Epoch 357, Train Loss: 0.20546481013298035
Epoch 358, Train Loss: 0.20357435941696167
Epoch 359, Train Loss: 0.19623368978500366
Epoch 360, Train Loss: 0.19266465306282043
Epoch 361, Train Loss: 0.19366702437400818
Epoch 362, Train Loss: 0.19323721528053284
Epoch 363, Train Loss: 0.19811786711215973
Epoch 364, Train Loss: 0.20305690169334412
Epoch 365, Train Loss: 0.21128413081169128
Epoch 366, Train Loss: 0.2143063247203827
Epoch 367, Train Loss: 0.22546283900737762
Epoch 368, Train Loss: 0.2276289314031601
Epoch 369, Train Loss: 0.2323680818080902
Epoch 370, Train Loss: 0.2089865505695343
Epoch 371, Train Loss: 0.19574609398841858
Epoch 372, Train Loss: 0.20175693929195404
Epoch 373, Train Loss: 0.24093012511730194
Epoch 374, Train Loss: 0.3116445541381836
Epoch 375, Train Loss: 0.40703147649765015
Epoch 376, Train Loss: 0.4870970845222473
Epoch 377, Train Loss: 0.44943323731422424
Epoch 378, Train Loss: 0.34536969661712646
Epoch 379, Train Loss: 0.18829688429832458
Epoch 380, Train Loss: 0.33471226692199707
Epoch 381, Train Loss: 0.437142550945282
Epoch 382, Train Loss: 0.2888154983520508
Epoch 383, Train Loss: 0.2788929045200348
Epoch 384, Train Loss: 0.3859465420246124
Epoch 385, Train Loss: 0.26225146651268005
Epoch 386, Train Loss: 0.29028549790382385
Epoch 387, Train Loss: 0.29338404536247253
Epoch 388, Train Loss: 0.2246842086315155
Epoch 389, Train Loss: 0.25197261571884155
Epoch 390, Train Loss: 0.25019949674606323
Epoch 391, Train Loss: 0.20096302032470703
Epoch 392, Train Loss: 0.2182655930519104
Epoch 393, Train Loss: 0.19006897509098053
Epoch 394, Train Loss: 0.17513713240623474
Epoch 395, Train Loss: 0.18484735488891602
Epoch 396, Train Loss: 0.16942155361175537
Epoch 397, Train Loss: 0.15386268496513367
Epoch 398, Train Loss: 0.1660112589597702
Epoch 399, Train Loss: 0.15426117181777954
Epoch 400, Train Loss: 0.1341373324394226
Epoch 401, Train Loss: 0.15276573598384857
Epoch 402, Train Loss: 0.1400427371263504
Epoch 403, Train Loss: 0.13814201951026917
Epoch 404, Train Loss: 0.12889282405376434
Epoch 405, Train Loss: 0.13471847772598267
Epoch 406, Train Loss: 0.1262194812297821
Epoch 407, Train Loss: 0.12050884962081909
Epoch 408, Train Loss: 0.1270594298839569
Epoch 409, Train Loss: 0.11824305355548859
Epoch 410, Train Loss: 0.11667601764202118
Epoch 411, Train Loss: 0.11838696897029877
Epoch 412, Train Loss: 0.1135360524058342
Epoch 413, Train Loss: 0.1103348582983017
Epoch 414, Train Loss: 0.11264154314994812
Epoch 415, Train Loss: 0.11350780725479126
Epoch 416, Train Loss: 0.11042597889900208
Epoch 417, Train Loss: 0.11144942790269852
Epoch 418, Train Loss: 0.10639618337154388
Epoch 419, Train Loss: 0.10568038374185562
Epoch 420, Train Loss: 0.105438232421875
Epoch 421, Train Loss: 0.10277372598648071
Epoch 422, Train Loss: 0.10331591963768005
Epoch 423, Train Loss: 0.10186965763568878
Epoch 424, Train Loss: 0.10014759004116058
Epoch 425, Train Loss: 0.0998997762799263
Epoch 426, Train Loss: 0.09912195801734924
Epoch 427, Train Loss: 0.1001637727022171
Epoch 428, Train Loss: 0.09945164620876312
Epoch 429, Train Loss: 0.09925015270709991
Epoch 430, Train Loss: 0.10013622045516968
Epoch 431, Train Loss: 0.09927836805582047
Epoch 432, Train Loss: 0.09907007217407227
Epoch 433, Train Loss: 0.09957952797412872
Epoch 434, Train Loss: 0.10164590924978256
Epoch 435, Train Loss: 0.10292723029851913
Epoch 436, Train Loss: 0.1061241626739502
Epoch 437, Train Loss: 0.10855421423912048
Epoch 438, Train Loss: 0.11222323775291443
Epoch 439, Train Loss: 0.11429565399885178
Epoch 440, Train Loss: 0.11648183315992355
Epoch 441, Train Loss: 0.11905324459075928
Epoch 442, Train Loss: 0.12281231582164764
Epoch 443, Train Loss: 0.12447604537010193
Epoch 444, Train Loss: 0.12104415893554688
Epoch 445, Train Loss: 0.11692468822002411
Epoch 446, Train Loss: 0.1097000241279602
Epoch 447, Train Loss: 0.10395980626344681
Epoch 448, Train Loss: 0.09924596548080444
Epoch 449, Train Loss: 0.0985274612903595
Epoch 450, Train Loss: 0.10159073770046234
Epoch 451, Train Loss: 0.10289864242076874
Epoch 452, Train Loss: 0.10350732505321503
Epoch 453, Train Loss: 0.10148097574710846
Epoch 454, Train Loss: 0.09919505566358566
Epoch 455, Train Loss: 0.0952686071395874
Epoch 456, Train Loss: 0.09207227826118469
Epoch 457, Train Loss: 0.09094861149787903
Epoch 458, Train Loss: 0.091090627014637
Epoch 459, Train Loss: 0.09162203967571259
Epoch 460, Train Loss: 0.09198587387800217
Epoch 461, Train Loss: 0.09369368851184845
Epoch 462, Train Loss: 0.09609584510326385
Epoch 463, Train Loss: 0.0977451428771019
Epoch 464, Train Loss: 0.09936036169528961
Epoch 465, Train Loss: 0.10031583905220032
Epoch 466, Train Loss: 0.09993332624435425
Epoch 467, Train Loss: 0.096246138215065
Epoch 468, Train Loss: 0.0927065908908844
Epoch 469, Train Loss: 0.09121322631835938
Epoch 470, Train Loss: 0.09172798693180084
Epoch 471, Train Loss: 0.09245550632476807
Epoch 472, Train Loss: 0.09386900067329407
Epoch 473, Train Loss: 0.09524336457252502
Epoch 474, Train Loss: 0.09577803313732147
Epoch 475, Train Loss: 0.09542883932590485
Epoch 476, Train Loss: 0.09553572535514832
Epoch 477, Train Loss: 0.09635560214519501
Epoch 478, Train Loss: 0.09774772822856903
Epoch 479, Train Loss: 0.09733922779560089
Epoch 480, Train Loss: 0.097022645175457
Epoch 481, Train Loss: 0.09554800391197205
Epoch 482, Train Loss: 0.09451544284820557
Epoch 483, Train Loss: 0.09176069498062134
Epoch 484, Train Loss: 0.08948969841003418
Epoch 485, Train Loss: 0.09069337695837021
Epoch 486, Train Loss: 0.0942411944270134
Epoch 487, Train Loss: 0.09986439347267151
Epoch 488, Train Loss: 0.10860279202461243
Epoch 489, Train Loss: 0.12348292768001556
Epoch 490, Train Loss: 0.14897355437278748
Epoch 491, Train Loss: 0.1826099306344986
Epoch 492, Train Loss: 0.219374418258667
Epoch 493, Train Loss: 0.235849991440773
Epoch 494, Train Loss: 0.2287806272506714
Epoch 495, Train Loss: 0.18318800628185272
Epoch 496, Train Loss: 0.1518099009990692
Epoch 497, Train Loss: 0.1654188483953476
Epoch 498, Train Loss: 0.19767096638679504
Epoch 499, Train Loss: 0.19186396896839142
Epoch 500, Train Loss: 0.1487131416797638
Epoch 501, Train Loss: 0.11621982604265213
Epoch 502, Train Loss: 0.12863843142986298
Epoch 503, Train Loss: 0.1502659022808075
Epoch 504, Train Loss: 0.12561264634132385
Epoch 505, Train Loss: 0.10045815259218216
Epoch 506, Train Loss: 0.11526291072368622
Epoch 507, Train Loss: 0.12157844752073288
Epoch 508, Train Loss: 0.10976336896419525
Epoch 509, Train Loss: 0.10662417113780975
Epoch 510, Train Loss: 0.10684279352426529
Epoch 511, Train Loss: 0.10979096591472626
Epoch 512, Train Loss: 0.11198041588068008
Epoch 513, Train Loss: 0.10772007703781128
Epoch 514, Train Loss: 0.09654655307531357
Epoch 515, Train Loss: 0.09513162076473236
Epoch 516, Train Loss: 0.10187822580337524
Epoch 517, Train Loss: 0.10146549344062805
Epoch 518, Train Loss: 0.09382863342761993
Epoch 519, Train Loss: 0.0944947749376297
Epoch 520, Train Loss: 0.09557708352804184
Epoch 521, Train Loss: 0.08903804421424866
Epoch 522, Train Loss: 0.08800200372934341
Epoch 523, Train Loss: 0.09330490231513977
Epoch 524, Train Loss: 0.0904482826590538
Epoch 525, Train Loss: 0.08616460114717484
Epoch 526, Train Loss: 0.08688050508499146
Epoch 527, Train Loss: 0.0890302062034607
Epoch 528, Train Loss: 0.0860232412815094
